名称,地址,城市,电话
宙斯电子竞技俱乐部,胜利东街44号,文明北路锦馨家园20幢20-116二层,石嘴山,18995241666
青柚电竞生活馆(万达广场店),宁夏回族自治区石嘴山市大武口区贺兰山南路27号万达广场3楼3026室,石嘴山,09522013311
力天网咖(广场店),南大街与广东路交叉口东50米,石嘴山,13909528883
极枫电竞网咖,石嘴山市平罗县山水名居西门向南50米,石嘴山,0952-6666622/19995024444
大海电竞,石嘴山市大武口区朝阳东街大众商城材料装饰城,石嘴山,
泰坦电竞网咖,石嘴山市平罗县健康巷光辉城市花园南侧约60米,石嘴山,
宙斯电竞,石嘴山市大武口区人民路锦馨花园,石嘴山,
千鸟电竞馆(万商店),宁夏回族自治区石嘴山市大武口区游艺东街85号(世纪朝阳万商时尚商城)2C1号,石嘴山,
云鱼电竞,宁夏回族自治区石嘴山市惠农区惠安大街374号,石嘴山,13323527135
竞宿电竞综合体,唐华首府北门,石嘴山,0952-6021000/13195069953
时光里电竞网吧,四川省眉山市东坡区眉山大道人寿路金悦汇3号楼,眉山,13550508668
荣耀电竞,杭州北路219号,眉山,17381249750
星链电竞,眉山市彭山区建设路与四方街交叉路口往南约80米,眉山,13880164996/19380799173
吉伦多网吧(环湖路店),环湖西路98号,眉山,18628966662
风驰电竞(上水云锦店),四川省眉山市仁寿县视高街道大学路176号3层,眉山,18990314239
盒子电竞,眉山市东坡区普田街东湖春天,眉山,
骄阳电竞,四川省眉山市彭山区锦江镇恒大时光里32栋2层1号,眉山,19278240639
九号电竞,眉山市东坡区南湖街南湖别院,眉山,18089507556
蓝极星电竞网咖,四川省眉山市仁寿县汪洋镇中央广场3-1，19-22号,眉山,15928919189
吉伦多网吧(会凌大厦店),杭州中路会凌大厦,眉山,18583836535
英雄联盟网吧(大北街),大北街111号眉州春天9栋17-21号,眉山,18990376069
吉伦多网吧(玫瑰小镇店),二环西路玫瑰园19区玫瑰小镇3号楼2楼,眉山,18180086968
吉伦多网吧(玫瑰国际分店),二环东路123号附9-3-1号,眉山,18583836535
骇客网吧·茶楼·台球(明星路店),明星北路99号二楼,眉山,13550540655
逍遥游电竞馆(桂香街店),苏祠街道桂香街120号(近丁字口),眉山,18990323848
慕尚电竞馆(盖丽广场店),红星路东延段玫瑰园十期,眉山,
城市传说网吧,1环北路409号,眉山,18990324389
头号玩家网吧(儋州东路店),儋州东路221号,眉山,
新世纪网吧(苏湖路店),苏湖路66号东湖铭苑,眉山,18089512322
赛维斯电竞,新富地商住小区,眉山,18180034295
1号电竞馆(东坡里店),东坡里商业水街5号楼,眉山,13550500522
吉伦多网吧(登州路店),登州路87-93号,眉山,18583836535
逍遥游网咖·电竞馆,四川省眉山市东坡区一环西路197~199号,眉山,028-38290988
云朵朵网吧(文定街店),万霖钱丰文定街365号,眉山,19982613257
云朵朵网咖,一环北路400号402号404号406号,眉山,18990310266
猎鹰网咖,岷江大道西段万景九巷十坊负一楼24号,眉山,028-38310086
吉伦多网吧(十七街店),拾柒街,眉山,18583836535
宝藏网吧,杭州中路131-145号,眉山,19960766070
银石网咖,岷江大道184号-190号A1栋1层,眉山,18728319614
信和网吧,彭寿街201号,眉山,
虎猫电竞(凯旋广场店),东坡大道南一段31号11栋1层5室,眉山,18384767976
能见度网吧(金城巷店),东坡商业城13栋1之16-19室,眉山,
大鱼网咖,东光社区雅苑小区,眉山,
浣熊部落ps4 ps5 switch 电玩(眉山分店),三苏路145号4层5号,眉山,13036669920/19982686198
源计划网咖,高灯北街66号,眉山,15378624115
大脑斧ps5 switch电玩(盖丽广场店),万景激情广场负一楼激情荟,眉山,17765436652
欢乐奥秘(宏远盖丽店),宏远盖丽广场一楼9-11号,眉山,
眉山炫窝电竞酒店,岷江大道98号,眉山,
梦娜丽莎,金鑫街95号,眉山,19150534227
壹号电竞馆,四川省眉山市东坡区文忠街19号,眉山,13778622239
尚酷玩家(眉山店),岷江大道中段望族1881万市隆超市负一楼2号,眉山,15388211663
娃屋wow,子瞻大道5号金府穿越盛世15幢1层50号,眉山,17361165001
黑白猫·PS5·switch·撸猫电玩,仁寿路南段冠城学府金街12号楼3楼45号,眉山,18784417182
迈达斯电竞馆,眉山市东坡区西子街东坡里商业水街(建设中),眉山,13778858991
蒙娜丽莎网吧,珠市东街与大北街交叉口东南20米,眉山,
大玩家(眉山万达店),文忠街333号,眉山,028-38285580
云逸宝摇杆游戏机(万达影城眉山万达广场XLAND店),眉山市文忠街333号万达广场4楼万达影城内大厅前台旁,眉山,
慕尚电竞馆,四川省眉山市东坡区大石桥街道东坡大道南4段-201,眉山,18180561868
云逸宝游戏厅(太平洋影城宏远盖丽店),二环东路宏远盖丽4楼太平洋影城内大厅前台旁,眉山,
酷玩地带,眉山市岷江生活广场4栋56号,眉山,
云逸宝摇杆游戏机(岷江影城岷江生活广场店),眉山市岷江生活广场岷江影城店内大厅前台边上,眉山,
阳阳特攻队,眉山市玫瑰国际2栋2楼,眉山,17765440502
皇朝电竞(双兴店),双兴小区27栋6、7、8、9号商网,盘锦,18942792525
网咖电竞,盘锦市大洼区泰山中路昆仑云景-东区,盘锦,
天作网络会馆,晟华大道晟华苑四期22号楼,盘锦,18704270800
今明后网咖(东风街店),东风街53号,盘锦,
糖潮电竞网咖(新玛特店),鹤翔路（大商城市广场C座2楼）,盘锦,0427-3680888
金阳电竞,盘锦市大洼区红海滩大街大洼客运东北侧约30米,盘锦,
赢龙网吧(食品一条街店),辽河路批发一条街岗北50米路东独一处饺子馆斜对过,盘锦,
蜘蛛网吧(兴三街店),步行街与兴三街交汇处二楼,盘锦,13224270581
红宝石网吧(辽油总院渤海院区东北),海园小区01号,盘锦,
蜜糖网咖(钻井市场店),鹤翔路62号,盘锦,
蜜糖网咖矩阵帝国(泰山北路店),泰山路131号(人合家园东),盘锦,
糖潮电竞综合体(康桥店),盘锦市兴隆台区桔子广场B座E14号楼4层(康惠社区入口进入),盘锦,0427-8592999
轩宇网咖,泰山中路良筑名邸,盘锦,13030777853
YOYI优宜电玩PS5·SWITCH·XBOX,辽宁省盘锦市兴隆台区惠宾街37号蓝色康桥桔子广场B座一楼1133号商铺,盘锦,13008237560
半糖电玩,惠宾街道惠宾街与香稻路交口蓝色康桥住宅区A区17、19桔子实业有限公司三层,盘锦,13842706901
电顽橙子潮玩体验中心,渤海路久栢埠商场负一F154室,盘锦,15204291172
玩家国度电竞馆(昆仑云景店),昆仑云景小区一期A10-5号商网,盘锦,
皇朝电竞(未来城网吧),大商城市广场D座十字街南行30米,盘锦,15642772525
巨人网吧(小学路),小学路与惠宾街交叉路口往南约100米(迎宾小区(南区街)西北侧约50米),盘锦,15042769868
哈喽C+电竞(盘锦一号店),辽宁省盘锦市双台子区双兴北路547号,盘锦,
天之缘网咖,泰山路中兴公园西门对面(兴税家园综合楼),盘锦,13130907785
金源网吧蜘蛛电竞(双台子店),辽宁省盘锦市双台子区辽河北路151号,盘锦,18342701999
奇缘网络竞技(三部),泰山北路107号附近,盘锦,
飞亚网咖,石油大街与金盛路交叉路口西侧兴隆小区,盘锦,13604934445
火麒麟电玩城(双台城店),建设街道胜利街35号橘子置业有限公司双台城分公司负一114铺,盘锦,
大玩家(盘锦万达店),万达广场三楼大玩家,盘锦,0427-3297886
环海嘉年华电玩城(盘锦钻井生活广场店),钻井生活广场3F-01,盘锦,
不急电玩馆,盘锦市浍滨街道康慧社区蓝色康桥E区5号楼2楼2层2046号商铺,盘锦,
主机游戏体验店,胜利街与育红路交叉口北50米路西,盘锦,13942776607
蜜糖电竞,盘锦市兴隆台区香稻路河畔花园(香稻路),盘锦,
数码潮玩(鹏欣·水游城店),石油大街水游城一楼132号,盘锦,15204261153
极速翼电玩城(鹏欣·水游城双兴南路店),鹏欣水游城负一层,盘锦,
云逸宝游戏厅(大商影城新玛特店),盘锦市步行街大商新玛特影城内大厅前台旁,盘锦,
十一号电竞酒店,辽宁省盘锦市兴隆台区惠宾街与香稻路交叉口桔子广场F1,盘锦,
云逸宝摇杆游戏机(中影东方银座国际影城盘锦店),盘锦市石油大街东方银座广场三楼东方银座影城休息区前台旁,盘锦,
云逸宝摇杆游戏机(中影映画影城田家店),田家镇天润广场五楼映画影城影城内前台旁,盘锦,
电竞网咖,盐城市阜宁县园林路绿苑小区南侧约120米,盐城,
秘密基地电竞,红星爱琴海国际广场39幢212室、214室,盐城,19106250658
宜搏电竞(盐都区店),盐渎路与振兴路交叉路口往西北约180米,盐城,17705107799
杰拉电竞·网咖(聚亨路店),人民南路华厦绿城商业街3号楼310~315室,盐城,15189208085
杰拉电竞·网咖(东台吾悦广场店),江苏省盐城市东台市惠阳西路107号吾悦广场s2-2007-2012号,盐城,18001415812
趣电竞,盐城市亭湖区青年东路力拓悦城东南侧约130米,盐城,17715938882
零度电竞,江苏省盐城市盐都区前中南路11号,盐城,
杰拉电竞·网咖(力拓悦城店),中亭路与青年东路辅路交叉口西北120米,盐城,13390740873
网鱼网咖·电竞(中南大有境店),解放南路278号大有境1幢2-317室,盐城,17352382320
飞鲸电竞,苏州路新城花园A区1幢211-214号,盐城,
月光电竞(魔力月光店),海潮路盐城魔力月光广场2楼东南角20050室,盐城,19905106605
锐搏电竞馆(枫露店),青年东路53号东亭国际商务中心B座3层,盐城,0515-88999555
V5电竞馆(火星二店),飞达东路东方1号创意产业园二期9-1号206/207室,盐城,15371167169
小象电竞,青墩街道立铠直招中心,盐城,
和谐网咖,黄海西路30号2楼,盐城,18912523626
真皮网咖,先锋街道盐兴西路36号(港湾明珠南区44号楼201),盐城,19106159535
宜博电竞馆(向阳西路店),向阳路金色家园(向阳西路)西北侧约100米,盐城,
火星电竞网咖店(大丰店),永泰国际广场商业楼A幢202、203室,盐城,15316121617
沧澜电竞,盐城市亭湖区清溪路景山名门雅居,盐城,
尚酷电竞网咖,经济开发区希望大道5号2幢N–L126,盐城,17768966238
辉煌网咖(泰山路店),泰山路康居园42幢101室(金御湾沐浴旁边),盐城,
夜猫电竞(建军路店),建军东路139号,盐城,19051508788
新启明网吧,江动曲轴制造有限公司东北门东北50米,盐城,15861973560
恒信网吧,青阳花园东南（镇西路）,盐城,18921887108
欣叶电竞网咖,先锋街道同曦鸣城1幢102-1室(2楼),盐城,
树袋熊电竞馆(建湖宝龙广场湖中路店),湖中南路896号(体育中心南侧)建湖宝龙广场,盐城,
逐光电竞(盐城金融城店),金融城11号楼4楼,盐城,
大猫电竞(高教公寓商业广场店),南洋镇希望大道师范学院东门对面高教公寓商业广场三楼,盐城,18962041600
超速电竞(万彩店),江苏省盐城市建湖县兴建东路翡翠嘉苑,盐城,
AG电竞网咖(吾悦广场店),吾悦广场4楼,盐城,0515-88800103
月光电竞(康乐苑店),康乐大厦2楼208室,盐城,19106150105
尚酷竞技馆(新紫苑店),新河商业街大地公寓130号,盐城,13365191871
夜猫电竞(支点网咖店),人民北路60-2号瑞华大厦2楼,盐城,13218607777
T-MO电竞网咖(爱琴海店),开放大道北路150号爱琴海广场35幢207-209室,盐城,19962386811
科达网吧(育红路店),城新路与育红路交叉口东50米,盐城,18051697111
梦想圆网咖,建军东路维也纳广场2号楼209号,盐城,18932259118
瑞文网咖(小飞侠店),先锋街道长坝路11号(金色华庭东新城花园西),盐城,18962081166
考拉网咖,文港路43号,盐城,18012502701
天煜网咖,经济开发区黄山路12号新嘉源人才公寓9号楼三层,盐城,13626207326
莱克电竞,凤凰南路金汇·龙湖小区9幢101室,盐城,
夜猫电竞(支点网咖店),人民北路60-2号瑞华大厦2楼,盐城,13218607777
网鱼网咖·电竞(解放南路店),盐城市亭湖区解放南路南门华府,盐城,
网猫电竞(盐城新弄里店),海潮路与戴庄路交叉口西南180米,盐城,18861999369
杰拉电竞·网咖(大丰名都广场店),名都广场三楼,盐城,15396876998
快乐网吧(二机厂路店),二机厂路盐城市龙冈小学南侧约190米,盐城,
鲸奇电竞·台球,盐城市亭湖区振兴路青墩派出所南侧约260米,盐城,
杰拉电竞·网咖(双元路店),解放南路8号仁丰双元居1幢(川味观旁边),盐城,18379931668
A+网咖(万达广场店),前中北路盐城万达广场（万达广场6号门对面）,盐城,19106233758
星速网咖,大庆西路2号（大庆路与盐马路交叉口向西50米路北）,盐城,
新世纪网吧(幸福东大街店),长乐小区综合楼2层4号,盐城,18051690678
星速网咖,大庆西路2号（大庆路与盐马路交叉口向西50米路北）,盐城,
超速电竞(时代店),江苏省盐城市建湖县神台路1号,盐城,13851161678
新宇网咖(开元路店),解放南路盐都新区商城7号楼,盐城,13770158050
宜博电竞馆(大丰吾悦广场店),吾悦广场,盐城,0515-83231188
杰拉电竞·网咖(宝龙广场店),宝龙城市广场宝龙潮街2楼2046室,盐城,
悦电竞(魔力月光店),解放南路中南魔力月光南边2层20226门市,盐城,
尊贵网咖,解放南路大学城财富港2号楼2楼,盐城,13770022355
叁度电竞酒店,新都路盐阜大众报西裙楼3楼,盐城,
东方·玉麒麟电竞中心,盐城市亭湖区新都路盐城国际会议展览中心,盐城,
天空之城动漫电玩世界(盐城中南店),新都街道解放南路278号中南城购物中心第二层2001,盐城,0515-88880669
尚酷网咖(大自然店),盐南东路18号,盐城,0515-88436829
绿洲网咖,新永路新兴镇中心幼儿园南侧约90米,盐城,
星空电竞酒店(思源路店),江苏省盐城市建湖县思源路29号,盐城,
新世纪网吧(幸福东大街店),长乐小区综合楼2层4号,盐城,18051690678
银河电竞馆(分店),盐城市人民南路城中商场2楼,盐城,18936280331
菲林网咖(亿龙网吧店),盐马路华兴苑综合楼1幢一楼101-103号,盐城,13390673636
莱克电竞,凤凰南路金汇·龙湖小区9幢101室,盐城,
AA·电竞,盐城市盐都区海潮路中南世纪城鼎城,盐城,
月光电竞(爱琴海店),爱琴海购物中心4楼4028室,盐城,18052926191
尚酷网咖(好人缘店),新河街道商业街19号兴业菜市场二楼,盐城,13770018386
杰拉网咖(建湖振亚广场店),人民南路66号振亚国际广场A201室,盐城,0515-86400666
海晨网咖,盐城经济开发区文港南路30号,盐城,
镇中网咖(镇中路店),镇中路15号,盐城,
金柯网咖(书香苑店),江苏省盐城市建湖县近湖街道丰收西路92-108号2楼(御景新城北大门西侧88米),盐城,13390693555
斯翔网咖(解放南路店),盐南东路个4号二楼,盐城,
金牛网吧(大新南路店),人民南路26号2层,盐城,18961955070
五洲网吧(镇东路店),镇东路25-10号,盐城,18112056808
竞潮玩·金柯电竞(御景新城店),盐城市建湖县丰收路秀丰文苑西南侧约40米,盐城,
创世纪网吧(榆河路店),大洋街道榆河路9巷2号(黄海路),盐城,13222391118
熊猫电竞网咖,江苏省盐城市盐都区新都街道娱乐社区新区娱乐村二组1幢室,盐城,0515-88425666/15345156206
创世纪网吧(榆河路店),大洋街道榆河路9巷2号(黄海路),盐城,13222391118
熊猫电竞网咖,江苏省盐城市盐都区新都街道娱乐社区新区娱乐村二组1幢室,盐城,0515-88425666/15345156206
铭都电竞馆,解放南路276号高职园区康乐大厦308室,盐城,15705115880
TAXT创·电竞馆,江苏省盐城市亭湖区开放大道72号建设银行8楼,盐城,
九亿电竞网咖,爱情海玫瑰天街31号楼219室（好想来北边电梯上二楼）,盐城,
悦电竞(师范通榆校区店),开放大道51号福缘居小区5幢101室（师范学院斜对面）,盐城,
君尚网咖(时尚快餐),兴建路兴建东路明星城别墅区大门北侧20米正北方向48米,盐城,0515-86292999
AG电竞(江瀚店),吾悦广场3幢160室,盐城,
杰拉电竞·网咖(建湖宝龙广场店),江苏省盐城市建湖县塘河街道建湖宝龙广场(湖中路店),盐城,
恋拉电竞,盐城市亭湖区中亭路力拓悦城,盐城,
AA+·电竞,盐城市亭湖区荣城路四季新城,盐城,
休闲网咖(分店),人民南路,盐城,0515-86238141
章鱼电竞,湖南省益阳市赫山区剧院路润天商务酒店(剧院路),益阳,17873728596
馨玥网络电竞,益阳市资阳区厦成线迎风桥镇卫生院西南侧约50米,益阳,
米时代电竞,朝阳街道羊舞岭小区A19栋1楼城市学院北门西南方向130米,益阳,
久久电竞(奈斯店),湖南省益阳市赫山区环保路43号,益阳,
电竞,益阳市赫山区金山南路江金社区北侧约150米,益阳,
视界电竞,湖南省益阳市沅江市桔城大道,益阳,
竹韵电竞网咖,湖南省益阳市桃江县牛潭河半稼洲村刘文组,益阳,
萤火虫电竞(西雅图旗舰店),湖南省益阳市沅江市永兴路与沅田路交叉口东40米,益阳,0737-2872999
追梦人轻奢电竞,汽车路街道贺家桥社区福星楼二楼,益阳,13087370960
微网电竞,益阳大道(西)6号益丰大药房旁,益阳,0737-2121921
新万达电竞馆,兰溪中心6楼110二楼,益阳,
稳赢部落新型电竞馆(万木春店),湖南省益阳市赫山区赫山街道腰塘社区1单元2156-2166室,益阳,19117901883
稳赢部落新型电竞馆(桃江大汉店),獭溪路310号,益阳,19325735648
腾飞网吧,桃花仑东路海信专卖店旁（茂林综合楼东南）,益阳,18173715609
怪兽网络生活馆(福中福店),福中福国际城15栋2楼,益阳,0737-4446466
未来电竞五元素店,秀峰西路208号,益阳,0737-3338837
新辉煌电竞综合体(桥北店),湖南省益阳市资阳区马良北路73号,益阳,07374168899
独角兽电竞馆(桥北店),湘中大厦3楼,益阳,15116718044
金手指网咖,大桃北路448号,益阳,15673702006
极星电竞,滨江路514号,益阳,18975388519
尖峰时刻电竞馆,龙岭工业园城院北门羊舞岭小区a7栋,益阳,13973787700
巅峰时刻电竞网咖(龙洲路店),湖南省益阳市赫山区龙洲南路901号,益阳,13786778531
半吨电竞馆,赫山街道赫山社区秀雅综合楼2栋201号,益阳,0737-2122002
KK电竞,鹿角园路富桥市场,益阳,15173741126
极佳电竞馆,五一东路湖南省电力公司正对面（学门口市场斜对面）,益阳,
外星人电竞(逆时针旗舰店),大桃北路148号,益阳,13973759333
蓝鲸电竞(心怡店),金山北路与栖霞路交叉口西南100米,益阳,19973783330
飓风电竞馆,湖南省益阳市赫山区朝阳街道G536(益阳大道(东)),益阳,
好兄弟网咖,金山南路152号丽枫酒店2层,益阳,15897371297
新倚天电竞馆,湖南省益阳市资阳区迎春南路1号,益阳,
新倚天电竞馆,湖南省益阳市资阳区迎春南路1号,益阳,
根据地电竞(同升巷),湖南省益阳市赫山区桃花仑东路990号,益阳,
伊见钟情网吧,团圆北路132号,益阳,18670096272
陌陌电竞·酒店,湖南省益阳市赫山区桃花仑街道大桃路291号(壹德壹对面),益阳,15399709234
原始人网咖,湖南省益阳市赫山区金山南路700号益兴源大酒店一楼,益阳,0737-6101868
犇腾电竞(雪峰山路店),益阳市桃江县雪峰山路大汉龙城翡翠湾西北侧约140米,益阳,18973732188
巅峰时刻电竞(大都汇商业步行街店),资江路大都汇商业步行街2层,益阳,13786778531
速格电竞馆,海棠路福中福国际城14栋2楼,益阳,0737-3339099
巨星阁网咖,羊舞岭小区A10栋,益阳,
蓝鲸电竞(蓝鲨店),湖南省益阳市赫山区金山北路128号,益阳,
鹿角园联想网咖,鹿角园菜市场二楼,益阳,0737-2670119/18907376664
零点电竞馆,湖南省益阳市赫山区G319(桃花仑东路),益阳,
奥咖电竞馆(秀峰西路店),湖南省益阳市赫山区秀峰中路110号,益阳,17347280008
爱舍电竞宾馆,朝阳街道羊舞岭小区A12栋202室,益阳,
巅峰时刻电竞馆,湖南省益阳市桃江县X016(金盆大道),益阳,18173763888
梦工厂网咖(大桃北路店),大桃北路232号（78号面包楼上）,益阳,0737-6986580
星河电竞(秀峰西路店),湖南省益阳市赫山区秀峰西路513号,益阳,15673757011
奥咖网咖,桃花仑街道桃花仑东路242号,益阳,15673721082
迷你电竞馆,益阳市赫山区萝溪路思纽特真知圆幼儿园南侧约90米,益阳,
未来电竞(美大都市英雄店),益阳市赫山区金山北路429号,益阳,15907379394
畅享电竞馆,益阳市赫山区益阳大道(西)益阳通程国际大酒店西北侧约60米,益阳,
益奇来网咖,马良路兴盛综合楼三楼,益阳,15364321321
新地电竞,益阳市赫山区桃花仑东路益阳高级技工学校西北侧约190米,益阳,18377499993
新战地电竞(兰溪店),益阳市赫山区枫林大道(北)贝儿乐幼儿园北侧约250米,益阳,19117977791
蓝泊湾网咖,益阳市赫山区S308银天工业园东侧约90米,益阳,13511110927
未来电竞(城院悠思点),湖南省益阳市赫山区凤山路羊舞岭小区A17栋,益阳,
大玩家(益阳万达店),益阳大道万达广场二楼,益阳,0737-6101792
好运阁网咖(碧桂园·梓山府店),城市学院西门对面,益阳,17726178856
经纬轩网咖电竞生活馆,湖南省益阳市资阳区长春东路176号,益阳,18169371928
诺克萨斯网咖,振兴路402号金泰花园北门旁,益阳,18173794888
诺克萨斯网咖,振兴路402号金泰花园北门旁,益阳,18173794888
BOOM小队潮流电玩社ps4 ps5 switch (新城市学院店),羊舞岭安置小区A11栋1单元201室（书亦烧仙草二楼）,益阳,19373601815
都市英雄网咖,金山北路429号,益阳,
悠思网咖,凤山路羊舞岭小区A17栋,益阳,
最强王者电竞,湖南省益阳市赫山区学府路羊舞领小区a8栋,益阳,13786278830
王者荣耀网咖,湖南省益阳市赫山区银城南路48号,益阳,18573730006
梦工厂网咖(大桃北路店),大桃北路232号（78号面包楼上）,益阳,0737-6986580
旺旺电竞馆,益阳市资阳区协园路益阳市资阳区人民政府北侧约100米,益阳,
禄合科技新型电竞馆,益阳市桃江县獭溪路310号,益阳,19325735648
海棠电竞,湖南省益阳市赫山区朝阳街道康富南路62,益阳,0737-6110123
银苑网络会所,湖南省益阳市赫山区萝溪路455号,益阳,18711712535
君临天下网络会所(致富北路店),长春东路66号,益阳,17773706888
万舜主题电竞酒店,益阳市赫山区朝阳街道益阳印象17.18栋二层201号,益阳,
稳赢部落新型电竞馆(福中福店),海棠社区福中福7栋229室232室,益阳,19152210177
河小马HIPPO PARR沉浸式家庭乐园(万木春店),万木春购物广场三楼,益阳,13016155238
田甜电竞网吧,朝阳路12号朝阳新城一号2层,百色,19176035599
魔方电竞馆(金辰郡店),广西壮族自治区百色市田林县进城大道20-108铺,百色,13132766660
宜博电竞馆(梦之岛店),龙景西路鼎盛中央城梦之岛购物广场5楼,百色,
晴天电竞馆(中环商业广场店),马头镇平中路中环商业广场第A、B、、C、G栋2层220a商铺（苏宁电器二楼对面）,百色,18507766484
宜博电竞馆(锦华店),那毕大道锦华新天地广场三楼,百色,19966793100
极速电竞,广西壮族自治区百色市右江区利荷路万景城2号楼3楼,百色,
萤火电竞网咖(靖西环球店),环球商业中心第一幢3楼F01号,百色,
宜博电竞馆(中山二路店),中山二路及东合二路交汇处嘉和商厦2F,百色,19966785511
逸动网咖(田阳店),明珠路田阳宾馆西南100米,百色,0776-3289078
ZG电竞馆(恒基广场店),实验小学5号,百色,13807860292
,,百色,
,,百色,
,,百色,
,,百色,
,,百色,
,,百色,
,,百色,
,,百色,
,,百色,
,,百色,
皇宫网咖形象馆(广州街分店),广州街西端2号综合楼,百色,0776-2987766
百色市酷网咖电竞馆(亿泰店),中山二路25号二楼,百色,17777177719
外星人电竞(百色万景城店),百色市右江区龙景西路梦之源大酒店西北侧约30米,百色,
V-PLAY乐园(爱琴海购物公园店),爱琴海购物广场3楼,百色,19943164843
V-PLAY潮玩家庭娱乐中心(百色店),广西壮族自治区百色市右江区东增路与龙旺大道交叉口爱琴海购物公园F3,百色,
世聚游戏体验中心(天洲店),天洲嘉乐城3楼,百色,18978600716
辉煌电玩城(中山二路店),百色市右江区中山二路欧艺大酒店(东合二路店),百色,
万景·电玩城,百色市右江区龙景西路梦之源大酒店北侧约40米,百色,
欢乐潮玩电玩城,利荷路万景城2号楼三层,百色,13977683699
嘉年华动漫城(恒基店),新兴路18号恒基广场肯德基对面二层,百色,
超玩地带电玩城(恒宁城市广场店),城东大道中百色综合港对面恒宁城市广场F3,百色,
云逸宝摇杆游戏机(广影国际影城梦之岛店),百色市龙景西路梦之岛购物广场5楼广影国际影城内大厅前台旁,百色,
宜博电竞酒店(百色体育中心店),龙景西路鼎盛中央城梦之岛购物广场5楼,百色,
乐摇摇酷宝潮玩(恒基广场店),新兴路18号恒基广场2层,百色,
云逸宝街机(中山广场奥特莱斯店),百色市中山一路36号中山广场2层影院内休息区摇杆街机,百色,
浪潮电竞,甘肃省白银市景泰县G338(昌林路),白银,18394320245
畅游电竞,五一街2号铜城商场底商F1,白银,
AC电竞,白银市白银区工农路祥瑞园,白银,
陨石电竞(汇福广场店),会师南路汇福广场4楼,白银,
新战神网吧(铜城商厦店),五一街2号铜城商厦F1层,白银,18794370665
奥罗拉电竞,白银市平川区广场路平川区第二幼儿园西南侧约80米,白银,19119803157
金铂电竞(宏泰步行街店),昌林路7号宏泰步行街,白银,18009434370
摩尔空间电竞馆,甘肃省白银市会宁县滨河东路111号,白银,
宏科电竞馆(王岘东路店),甘肃白银市白银区胜利街75号10栋,白银,18919430080
鱼乐电竞,九洋大厦三楼,白银,18294966658
,,白银,
,,白银,
,,白银,
,,白银,
,,白银,
,,白银,
,,白银,
,,白银,
,,白银,
,,白银,
自由空间网吧(公园路店),公园路127号,白银,13884256400
极光竞电竞综合体,二十一冶俱乐部大厦肥仔烤鸭旁边,白银,
白银米乐电竞综合体,纺织路130号3层A309铺,白银,
白银星坐标电竞,甘肃省白银市白银区会师街优家市场内3楼,白银,
畅游电竞CY-ESPORTS(四龙路店),四龙路94号3幢3-10-13号,白银,18609432000
玩家国度(人民路店),红星路华银商务大厦4楼（会展中心对面）,白银,19890664366
蒸汽电竞,白银市东山路9号凯宏楼2层201室,白银,
纷享嘉年华电子游艺中心,兰州路54号白银商会大厦,白银,
萌言潮玩社(人民路店),甘肃省白银市白银区公园路街道人民路90号,白银,
鲲茂潮玩(国芳百货白银店),兰州路与广场北路交叉口东南170米,白银,
逗号电竞(众乐店),牙叉镇牙叉中路366号雅斯特二楼,白沙,18508971249
梦在线电竞,吉林省白山市浑江区浑江大街98-3号,白山,
金色炫网电竞,长白山森林宾馆(松江河商贸中心东北),白山,18243941666
柒柒电竞,鸭江路10号,白山,13089393555
唯易电竞馆,吉林省白山市抚松县抚松镇香江路100号,白山,13274397777
悠米电竞馆,红旗街与团结路交叉口东100米,白山,
电竞二店,白山市临江市临江大街迎宾花园东南侧约90米,白山,
冲浪电竞网咖(地球村店),白山市浑江区建设街广泽国际购物中心东南侧约140米,白山,13604493761
银幻之恋网络广场,白山市江源区明珠小区101门市,白山,
馨元网络(博爱店),星泰花园西南门西北120米,白山,
环宇网吧(蛟龙店),吉林省白山市抚松县松山街与松江路交叉口南100米,白山,13944903435
,,白山,
,,白山,
,,白山,
,,白山,
,,白山,
,,白山,
,,白山,
,,白山,
,,白山,
,,白山,
朋友电竞网吧,吉林省白城市洮北区中兴西大路76号楼,白城,0436-6789888
辉煌网吧(新兴路店),白城市洮北区瑞光南街63号,白城,18844664499
鲨鱼电竞(民生东路店),吉林省白城市洮北区民生东路96-11号,白城,18943797171
VR电竞(碧水东城商业街店),新发北街与碧水东城商业街交叉口东100米,白城,
凯旋电竞馆,吉林省白城市洮北区长庆南街63号楼,白城,13294362223
比尔电竞超越网吧(青年北大街店),青年北大街32号楼6门市,白城,13945703519
海维网吧,吉林省白城市洮北区中兴西大路76-6号,白城,
ZG电竞馆(建设街店),吉林省白城市通榆县建设街4444号,白城,13244464443/15734382111
爱逸巢电竞网咖(兴安北街店),吉林省白城市洮南市兴安北街明秀小区1层,白城,
爵迹电竞馆,白城市洮南市泰州北街泰府小区东侧约60米,白城,18844670000
谜团主机游戏体验馆,新华东大路锦绣华府高层19号楼南侧门市（大润发东侧）,白城,13258861200
酷盖潮玩游乐·乐摇摇(大润发店),长庆南街与新华西大路交叉口南100米,白城,
白城开心乐园电玩城(中润购物中心店),中润购物中心2楼,白城,18343677866
新感觉网吧(新兴路店),新兴路32号,白城,
金轩电竞馆,吉林省白城市洮北区学府街新城家园a区191号楼,白城,13943601313
比尔·电竞旗舰店,白城市洮北区瑞光南街佳兴园东侧,白城,
